,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,album,artist,track.popularity,track.album.release_date,playlist_name
165,0.826,0.318,10,-12.391,1,0.0574,0.493,0.0131,0.11,0.138,103.002,audio_features,6G8kHiVZ1jW7vHMPVRNZU0,spotify:track:6G8kHiVZ1jW7vHMPVRNZU0,https://api.spotify.com/v1/tracks/6G8kHiVZ1jW7vHMPVRNZU0,https://api.spotify.com/v1/audio-analysis/6G8kHiVZ1jW7vHMPVRNZU0,245786,4,Don’t Matter To Me (with Michael Jackson),Scorpion,"Drake , Michael Jackson",73,2018-06-29,Top Tracks of 2018
166,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,audio_features,25sgk305KZfyuqVBQIahim,spotify:track:25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,187436,4,Sweet but Psycho,Sweet but Psycho,Ava Max,85,2018-08-17,Top Tracks of 2018
167,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17e-05,0.111,0.188,100.584,audio_features,77UjLW8j5UAGAGVGhR5oUK,spotify:track:77UjLW8j5UAGAGVGhR5oUK,https://api.spotify.com/v1/tracks/77UjLW8j5UAGAGVGhR5oUK,https://api.spotify.com/v1/audio-analysis/77UjLW8j5UAGAGVGhR5oUK,211440,4,Pray For Me (with Kendrick Lamar),Black Panther The Album Music From And Inspired By,"The Weeknd , Kendrick Lamar",76,2018-02-09,Top Tracks of 2018
168,0.45,0.465,7,-7.867,0,0.268,0.185,0.0,0.0782,0.788,70.231,audio_features,2U5cq89GCnsR1yixKkC8d5,spotify:track:2U5cq89GCnsR1yixKkC8d5,https://api.spotify.com/v1/tracks/2U5cq89GCnsR1yixKkC8d5,https://api.spotify.com/v1/audio-analysis/2U5cq89GCnsR1yixKkC8d5,202826,3,Barking,Barking,Ramz,73,2017-12-01,Top Tracks of 2018
169,0.593,0.712,8,-6.078,0,0.264,0.0779,0.0,0.269,0.48,199.918,audio_features,7IswsfMQkmjm1FQ2iT3sbw,spotify:track:7IswsfMQkmjm1FQ2iT3sbw,https://api.spotify.com/v1/tracks/7IswsfMQkmjm1FQ2iT3sbw,https://api.spotify.com/v1/audio-analysis/7IswsfMQkmjm1FQ2iT3sbw,207575,4,Glad,Glad,Bro,46,2018-06-22,Top Tracks of 2018
170,0.744,0.598,11,-7.102,0,0.0273,0.03,0.0,0.121,0.502,110.006,audio_features,00xE0XQaGE9ScphTFr0PJM,spotify:track:00xE0XQaGE9ScphTFr0PJM,https://api.spotify.com/v1/tracks/00xE0XQaGE9ScphTFr0PJM,https://api.spotify.com/v1/audio-analysis/00xE0XQaGE9ScphTFr0PJM,208642,4,Flawless,"All The Time, Sometimes",Mads Langer,49,2017-11-10,Top Tracks of 2018
171,0.729,0.642,7,-6.029,0,0.0885,0.213,0.00277,0.108,0.649,102.988,audio_features,4KzpgkWZvobrSk9z63tvNS,spotify:track:4KzpgkWZvobrSk9z63tvNS,https://api.spotify.com/v1/tracks/4KzpgkWZvobrSk9z63tvNS,https://api.spotify.com/v1/audio-analysis/4KzpgkWZvobrSk9z63tvNS,199815,4,Mon P'tit Loup,Mon P'tit Loup,Gilli,42,2018-05-21,Top Tracks of 2018
172,0.664,0.667,4,-5.941,1,0.154,0.64,1.22e-06,0.0753,0.381,180.064,audio_features,32lItqlMi4LBhb4k0BaSaC,spotify:track:32lItqlMi4LBhb4k0BaSaC,https://api.spotify.com/v1/tracks/32lItqlMi4LBhb4k0BaSaC,https://api.spotify.com/v1/audio-analysis/32lItqlMi4LBhb4k0BaSaC,227533,4,Candy Paint,beerbongs & bentleys,Post Malone,78,2018-04-27,Top Tracks of 2018
173,0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,audio_features,0tBbt8CrmxbjRP0pueQkyU,spotify:track:0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/tracks/0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/audio-analysis/0tBbt8CrmxbjRP0pueQkyU,197993,4,Wolves,Wolves,"Selena Gomez , Marshmello",80,2017-10-25,Top Tracks of 2018
174,0.901,0.522,2,-8.304,1,0.33,0.0114,0.0,0.259,0.329,104.053,audio_features,4S8d14HvHb70ImctNgVzQQ,spotify:track:4S8d14HvHb70ImctNgVzQQ,https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ,https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ,127946,4,I Love It (& Lil Pump),I Love It,"Kanye West , Lil Pump",77,2018-09-07,Top Tracks of 2018
175,0.734,0.765,7,-5.562,1,0.0621,0.151,0.0,0.231,0.518,109.989,audio_features,3DGar7krWlmrXRFHBcQF6z,spotify:track:3DGar7krWlmrXRFHBcQF6z,https://api.spotify.com/v1/tracks/3DGar7krWlmrXRFHBcQF6z,https://api.spotify.com/v1/audio-analysis/3DGar7krWlmrXRFHBcQF6z,163636,4,Whenever (feat. Conor Maynard),Whenever (feat. Conor Maynard),"Kris Kross Amsterdam , The Boy Next Door , Conor Maynard",72,2018-06-22,Top Tracks of 2018
176,0.933,0.639,10,-4.967,0,0.163,0.005,4.48e-06,0.0603,0.336,98.024,audio_features,12upFOLFbpQ5nTENWm2Glj,spotify:track:12upFOLFbpQ5nTENWm2Glj,https://api.spotify.com/v1/tracks/12upFOLFbpQ5nTENWm2Glj,https://api.spotify.com/v1/audio-analysis/12upFOLFbpQ5nTENWm2Glj,153916,4,AMG,AMG,MellemFingaMuzik,52,2018-08-25,Top Tracks of 2018
177,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,audio_features,4hQ6UGyWQIGJmHSo0J88JW,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,https://api.spotify.com/v1/tracks/4hQ6UGyWQIGJmHSo0J88JW,https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW,207904,4,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Selena Gomez,78,2018-05-10,Top Tracks of 2018
178,0.761,0.585,1,-7.252,0,0.1,0.0664,0.0,0.505,0.684,96.09,audio_features,6L2TOTO0JjlVuKBnIuWcVY,spotify:track:6L2TOTO0JjlVuKBnIuWcVY,https://api.spotify.com/v1/tracks/6L2TOTO0JjlVuKBnIuWcVY,https://api.spotify.com/v1/audio-analysis/6L2TOTO0JjlVuKBnIuWcVY,190371,4,Bad,Bad,Christopher,49,2018-04-13,Top Tracks of 2018
179,0.552,0.371,7,-9.104,0,0.0359,0.857,0.0,0.0838,0.245,199.843,audio_features,1T575AhHueYinKSDflEsGK,spotify:track:1T575AhHueYinKSDflEsGK,https://api.spotify.com/v1/tracks/1T575AhHueYinKSDflEsGK,https://api.spotify.com/v1/audio-analysis/1T575AhHueYinKSDflEsGK,191786,3,Heaven,Fifty Shades Freed (Original Motion Picture Soundtrack),Julia Michaels,74,2018-02-09,Top Tracks of 2018
180,0.538,0.595,0,-7.398,1,0.112,0.0874,6.48e-06,0.161,0.334,183.736,audio_features,7FIcIjKaQJpy0vWWFZMZGH,spotify:track:7FIcIjKaQJpy0vWWFZMZGH,https://api.spotify.com/v1/tracks/7FIcIjKaQJpy0vWWFZMZGH,https://api.spotify.com/v1/audio-analysis/7FIcIjKaQJpy0vWWFZMZGH,207333,4,Strongest,Strongest,Ina Wroldsen,61,2017-10-27,Top Tracks of 2018
181,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214289,4,Happier,Happier,"Marshmello , Bastille",87,2018-08-17,Top Tracks of 2018
182,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,audio_features,52okn5MNA47tk87PeZJLEL,spotify:track:52okn5MNA47tk87PeZJLEL,https://api.spotify.com/v1/tracks/52okn5MNA47tk87PeZJLEL,https://api.spotify.com/v1/audio-analysis/52okn5MNA47tk87PeZJLEL,212120,4,Let You Down,Perception,NF,81,2017-10-06,Top Tracks of 2018
183,0.734,0.685,1,-5.788,1,0.0526,0.0192,4.02e-06,0.127,0.436,100.075,audio_features,1HbdS6DUrJbxWj1vnrXHsD,spotify:track:1HbdS6DUrJbxWj1vnrXHsD,https://api.spotify.com/v1/tracks/1HbdS6DUrJbxWj1vnrXHsD,https://api.spotify.com/v1/audio-analysis/1HbdS6DUrJbxWj1vnrXHsD,228445,4,Worry,Worry,FOOL,47,2018-06-01,Top Tracks of 2018
184,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,audio_features,4qKcDkK6siZ7Jp1Jb4m0aL,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL,https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL,181263,4,Look Alive (feat. Drake),Look Alive (feat. Drake),"BlocBoy JB , Drake",78,2018-02-09,Top Tracks of 2018
185,0.803,0.522,10,-7.777,0,0.0874,0.654,0.0,0.11,0.73,98.004,audio_features,259pBM4bY2oZTCCgTj3ChP,spotify:track:259pBM4bY2oZTCCgTj3ChP,https://api.spotify.com/v1/tracks/259pBM4bY2oZTCCgTj3ChP,https://api.spotify.com/v1/audio-analysis/259pBM4bY2oZTCCgTj3ChP,217678,4,Good Together,Lagune,Scarlet Pleasure,48,2017-11-17,Top Tracks of 2018
186,0.834,0.754,8,-6.407,0,0.0874,0.0539,0.0,0.134,0.817,109.998,audio_features,2zo3xmyUOxvnZ4qy3BQFwa,spotify:track:2zo3xmyUOxvnZ4qy3BQFwa,https://api.spotify.com/v1/tracks/2zo3xmyUOxvnZ4qy3BQFwa,https://api.spotify.com/v1/audio-analysis/2zo3xmyUOxvnZ4qy3BQFwa,179825,4,Carnalismo,Carnalismo,"NODE , Gilli , Branco",34,2018-01-17,Top Tracks of 2018
187,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,audio_features,3Vo4wInECJQuz9BIBMOu8i,spotify:track:3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,217288,4,Finesse - Remix; feat. Cardi B,Finesse (Remix) [feat. Cardi B],"Bruno Mars , Cardi B",75,2017-12-20,Top Tracks of 2018
188,0.765,0.668,5,-5.667,0,0.111,0.088,0.0,0.0967,0.714,143.987,audio_features,3G3mTTR1EDmce8zZIdapM6,spotify:track:3G3mTTR1EDmce8zZIdapM6,https://api.spotify.com/v1/tracks/3G3mTTR1EDmce8zZIdapM6,https://api.spotify.com/v1/audio-analysis/3G3mTTR1EDmce8zZIdapM6,190000,4,Ekstra,Ekstra,KESI,46,2018-07-27,Top Tracks of 2018
189,0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912,audio_features,3nc420PXjTdBV5TN0gCFkS,spotify:track:3nc420PXjTdBV5TN0gCFkS,https://api.spotify.com/v1/tracks/3nc420PXjTdBV5TN0gCFkS,https://api.spotify.com/v1/audio-analysis/3nc420PXjTdBV5TN0gCFkS,216419,4,Ocean (feat. Khalid),Ocean (feat. Khalid),"Martin Garrix , Khalid",74,2018-06-15,Top Tracks of 2018
190,0.521,0.478,10,-7.384,0,0.149,0.219,0.0,0.23,0.365,82.572,audio_features,610KxSt2HNjczZ2ic2Yr9q,spotify:track:610KxSt2HNjczZ2ic2Yr9q,https://api.spotify.com/v1/tracks/610KxSt2HNjczZ2ic2Yr9q,https://api.spotify.com/v1/audio-analysis/610KxSt2HNjczZ2ic2Yr9q,173912,4,Højre Og Venstre (feat. Ericka Jane),Ingen Drama,"Skinz , Ericka Jane",44,2018-06-01,Top Tracks of 2018
191,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,audio_features,4T3fNx3CgwDRRYgmFCbD4J,spotify:track:4T3fNx3CgwDRRYgmFCbD4J,https://api.spotify.com/v1/tracks/4T3fNx3CgwDRRYgmFCbD4J,https://api.spotify.com/v1/audio-analysis/4T3fNx3CgwDRRYgmFCbD4J,229412,4,Better,Better,Khalid,74,2018-09-14,Top Tracks of 2018
192,0.864,0.693,10,-5.571,0,0.0516,0.462,0.0,0.167,0.851,118.962,audio_features,6iKh27IuddYWKDKC6x5NtM,spotify:track:6iKh27IuddYWKDKC6x5NtM,https://api.spotify.com/v1/tracks/6iKh27IuddYWKDKC6x5NtM,https://api.spotify.com/v1/audio-analysis/6iKh27IuddYWKDKC6x5NtM,167435,4,La Fami,La Fami,Fouli,44,2018-03-09,Top Tracks of 2018
193,0.628,0.797,11,-3.953,0,0.0596,0.0364,0.0,0.104,0.321,106.93,audio_features,7EI6Iki24tBHAMxtb4xQN2,spotify:track:7EI6Iki24tBHAMxtb4xQN2,https://api.spotify.com/v1/tracks/7EI6Iki24tBHAMxtb4xQN2,https://api.spotify.com/v1/audio-analysis/7EI6Iki24tBHAMxtb4xQN2,215064,4,Anywhere,Anywhere,Rita Ora,71,2017-10-20,Top Tracks of 2018
194,0.642,0.718,2,-5.097,0,0.076,0.246,0.0,0.125,0.583,103.842,audio_features,6GfqrsrHtwS9gUmZ6ZjPtu,spotify:track:6GfqrsrHtwS9gUmZ6ZjPtu,https://api.spotify.com/v1/tracks/6GfqrsrHtwS9gUmZ6ZjPtu,https://api.spotify.com/v1/audio-analysis/6GfqrsrHtwS9gUmZ6ZjPtu,189266,4,LA CRIMINAL,LA CRIMINAL,MellemFingaMuzik,41,2018-03-23,Top Tracks of 2018
195,0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,audio_features,33IOhptvC2Qoy2UhjiHXLV,spotify:track:33IOhptvC2Qoy2UhjiHXLV,https://api.spotify.com/v1/tracks/33IOhptvC2Qoy2UhjiHXLV,https://api.spotify.com/v1/audio-analysis/33IOhptvC2Qoy2UhjiHXLV,195000,4,Flames,Flames,"David Guetta , Sia",74,2018-03-22,Top Tracks of 2018
196,0.652,0.678,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.989,audio_features,6Hgh47WXVKtXN5zGOu0hjI,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,https://api.spotify.com/v1/tracks/6Hgh47WXVKtXN5zGOu0hjI,https://api.spotify.com/v1/audio-analysis/6Hgh47WXVKtXN5zGOu0hjI,263013,4,OTW,OTW,"Khalid , 6LACK , Ty Dolla $ign",77,2018-04-20,Top Tracks of 2018
197,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,audio_features,2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,312820,4,SICKO MODE,ASTROWORLD,Travis Scott,86,2018-08-03,Top Tracks of 2018
198,0.801,0.56,2,-7.144,1,0.0859,0.384,0.0,0.106,0.165,119.931,audio_features,0DMrRNa5ZEeIuEyHM7t1QH,spotify:track:0DMrRNa5ZEeIuEyHM7t1QH,https://api.spotify.com/v1/tracks/0DMrRNa5ZEeIuEyHM7t1QH,https://api.spotify.com/v1/audio-analysis/0DMrRNa5ZEeIuEyHM7t1QH,198642,4,Colombiana (feat. Gilli),Colombiana (feat. Gilli),"Sivas , Gilli",36,2018-04-11,Top Tracks of 2018
199,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,audio_features,4jvjzW7Hm0yK4LvvE0Paz9,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/tracks/4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/audio-analysis/4jvjzW7Hm0yK4LvvE0Paz9,196400,4,Falling Down - Bonus Track,"Come Over When You're Sober, Pt. 2","Lil Peep , XXXTENTACION",81,2018-11-09,Top Tracks of 2018
200,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,audio_features,6v3KW9xbzN5yKLt9YKDYA2,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,190799,4,Señorita,Shawn Mendes (Deluxe),"Shawn Mendes , Camila Cabello",86,2019-06-19,Top Tracks of 2019
201,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194087,4,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,94,2019-03-29,Top Tracks of 2019
202,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,audio_features,0RiRZpuVRbi7oqRdSMwhQY,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/audio-analysis/0RiRZpuVRbi7oqRdSMwhQY,157560,4,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,"Post Malone , Swae Lee",85,2019-09-06,Top Tracks of 2019
203,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,6ocbgoVGwYJhOv1GgI9NsF,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,178626,4,7 rings,"thank u, next",Ariana Grande,88,2019-02-08,Top Tracks of 2019
204,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,2YpeDb67231RjR0MgVLzsG,spotify:track:2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,157066,4,Old Town Road - Remix,7 EP,"Lil Nas X , Billy Ray Cyrus",87,2019-06-21,Top Tracks of 2019
205,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,audio_features,0hVXuCcriWRGvwMV1r5Yn9,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,https://api.spotify.com/v1/tracks/0hVXuCcriWRGvwMV1r5Yn9,https://api.spotify.com/v1/audio-analysis/0hVXuCcriWRGvwMV1r5Yn9,219946,4,I Don't Care (with Justin Bieber),No.6 Collaborations Project,"Ed Sheeran , Justin Bieber",82,2019-07-12,Top Tracks of 2019
206,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,audio_features,7xQAfvXzm3AkraOtGPWIZg,spotify:track:7xQAfvXzm3AkraOtGPWIZg,https://api.spotify.com/v1/tracks/7xQAfvXzm3AkraOtGPWIZg,https://api.spotify.com/v1/audio-analysis/7xQAfvXzm3AkraOtGPWIZg,149546,4,Wow.,Hollywood's Bleeding,Post Malone,86,2019-09-06,Top Tracks of 2019
207,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,audio_features,7qEHsqek33rTcFNT9PFqLf,spotify:track:7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,182160,4,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,93,2019-05-17,Top Tracks of 2019
208,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,audio_features,5w9c2J52mkdntKOmRLeM2m,spotify:track:5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,193226,4,Con Calma,Con Calma,"Daddy Yankee , Snow",84,2019-01-24,Top Tracks of 2019
209,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,audio_features,2VxeLyX666F8uXCJ0dZF8B,spotify:track:2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,215733,4,Shallow,A Star Is Born Soundtrack,"Lady Gaga , Bradley Cooper",86,2018-10-05,Top Tracks of 2019
210,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214289,4,Happier,Happier,"Marshmello , Bastille",87,2018-08-17,Top Tracks of 2019
211,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,5p7ujcrUXASCNwRaWNHR1C,spotify:track:5p7ujcrUXASCNwRaWNHR1C,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,201660,4,Without Me,Without Me,Halsey,85,2018-10-04,Top Tracks of 2019
212,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,audio_features,5iwz1NiezX7WWjnCgY5TH4,spotify:track:5iwz1NiezX7WWjnCgY5TH4,https://api.spotify.com/v1/tracks/5iwz1NiezX7WWjnCgY5TH4,https://api.spotify.com/v1/audio-analysis/5iwz1NiezX7WWjnCgY5TH4,238200,4,Calma - Remix,Calma (Remix),"Pedro Capó , Farruko",83,2018-10-05,Top Tracks of 2019
213,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,audio_features,3e9HZxeyfWwjeyPAMmWSSQ,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ,https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ,207320,4,"thank u, next","thank u, next",Ariana Grande,85,2019-02-08,Top Tracks of 2019
214,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,audio_features,22vgEDb5hykfaTwLuskFGD,spotify:track:22vgEDb5hykfaTwLuskFGD,https://api.spotify.com/v1/tracks/22vgEDb5hykfaTwLuskFGD,https://api.spotify.com/v1/audio-analysis/22vgEDb5hykfaTwLuskFGD,181026,4,Sucker,Happiness Begins,Jonas Brothers,86,2019-06-07,Top Tracks of 2019
215,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,audio_features,25sgk305KZfyuqVBQIahim,spotify:track:25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,187436,4,Sweet but Psycho,Sweet but Psycho,Ava Max,85,2018-08-17,Top Tracks of 2019
216,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,audio_features,6Qs4SXO9dwPj5GKvVOv8Ki,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,171029,4,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),"Sam Smith , Normani",86,2019-01-11,Top Tracks of 2019
217,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,audio_features,4SSnFejRGlZikf02HLewEF,spotify:track:4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,193143,4,bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,86,2019-03-29,Top Tracks of 2019
218,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,audio_features,0F7FA14euOIX8KcbEturGH,spotify:track:0F7FA14euOIX8KcbEturGH,https://api.spotify.com/v1/tracks/0F7FA14euOIX8KcbEturGH,https://api.spotify.com/v1/audio-analysis/0F7FA14euOIX8KcbEturGH,113000,4,Old Town Road,7 EP,Lil Nas X,83,2019-06-21,Top Tracks of 2019
219,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984,audio_features,6TqXcAFInzjp0bODyvrWEq,spotify:track:6TqXcAFInzjp0bODyvrWEq,https://api.spotify.com/v1/tracks/6TqXcAFInzjp0bODyvrWEq,https://api.spotify.com/v1/audio-analysis/6TqXcAFInzjp0bODyvrWEq,197573,4,Talk (feat. Disclosure),Free Spirit,"Khalid , Disclosure",80,2019-04-05,Top Tracks of 2019
220,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,audio_features,43zdsphuZLzwA9k4DJhU0I,spotify:track:43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I,196077,4,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,89,2019-03-29,Top Tracks of 2019
221,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,audio_features,70eFcWOvlMObDhURTqT4Fv,spotify:track:70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/tracks/70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/audio-analysis/70eFcWOvlMObDhURTqT4Fv,197866,4,Beautiful People (feat. Khalid),No.6 Collaborations Project,"Ed Sheeran , Khalid",81,2019-07-12,Top Tracks of 2019
222,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,audio_features,1rgnBhdG2JDFTbYkYRZAku,spotify:track:1rgnBhdG2JDFTbYkYRZAku,https://api.spotify.com/v1/tracks/1rgnBhdG2JDFTbYkYRZAku,https://api.spotify.com/v1/audio-analysis/1rgnBhdG2JDFTbYkYRZAku,209754,4,Dance Monkey,Dance Monkey,Tones and I,76,2019-05-10,Top Tracks of 2019
