,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,album,artist,track.popularity,track.album.release_date,playlist_name
121,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,audio_features,0E9ZjEAyAwOXZ7wJC0PD33,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33,https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33,184560,4,In My Mind,In My Mind,"Dynoro , Gigi D'Agostino",82,2018-06-08,Top Tracks of 2018
122,0.586,0.909,8,-6.474,1,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,3CA9pLiwRIGtUBiMjbZmRw,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,210746,4,Nice For What,Scorpion,Drake,79,2018-06-29,Top Tracks of 2018
123,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,audio_features,0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,173799,4,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),"benny blanco , Halsey , Khalid",82,2018-07-12,Top Tracks of 2018
124,0.74,0.622,11,-4.608,0,0.0446,0.0357,4.85e-05,0.356,0.556,104.966,audio_features,3NuK5xMlSlB6K2Qp16zf3h,spotify:track:3NuK5xMlSlB6K2Qp16zf3h,https://api.spotify.com/v1/tracks/3NuK5xMlSlB6K2Qp16zf3h,https://api.spotify.com/v1/audio-analysis/3NuK5xMlSlB6K2Qp16zf3h,222706,4,Solo (feat. Demi Lovato),What Is Love? (Deluxe Edition),"Clean Bandit , Demi Lovato",71,2018-11-30,Top Tracks of 2018
125,0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994,audio_features,5IaHrVsrferBYDm0bDyABy,spotify:track:5IaHrVsrferBYDm0bDyABy,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,232959,4,Taste (feat. Offset),Taste (feat. Offset),"Tyga , Offset",80,2018-05-16,Top Tracks of 2018
126,0.747,0.834,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005,audio_features,4kWO6O1BUXcZmaxitpVUwp,spotify:track:4kWO6O1BUXcZmaxitpVUwp,https://api.spotify.com/v1/tracks/4kWO6O1BUXcZmaxitpVUwp,https://api.spotify.com/v1/audio-analysis/4kWO6O1BUXcZmaxitpVUwp,215759,4,Jackie Chan,Jackie Chan,"Tiësto , Dzeko , Preme , Post Malone",77,2018-05-18,Top Tracks of 2018
127,0.826,0.51,1,-8.626,0,0.0813,0.5,0.000531,0.138,0.62,115.084,audio_features,2lZEnKxY1v6wgR8ipQMwEI,spotify:track:2lZEnKxY1v6wgR8ipQMwEI,https://api.spotify.com/v1/tracks/2lZEnKxY1v6wgR8ipQMwEI,https://api.spotify.com/v1/audio-analysis/2lZEnKxY1v6wgR8ipQMwEI,179045,4,Zum Zum,Zum Zum,ZK,50,2018-02-02,Top Tracks of 2018
128,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,2G7V7zsVDxg1yRsu7Ew9RJ,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ,https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ,217925,4,In My Feelings,Scorpion,Drake,81,2018-06-29,Top Tracks of 2018
129,0.689,0.581,0,-5.955,1,0.0789,0.0675,0.0,0.388,0.539,102.748,audio_features,0EmFeENh4mqxH9Lhro2Oib,spotify:track:0EmFeENh4mqxH9Lhro2Oib,https://api.spotify.com/v1/tracks/0EmFeENh4mqxH9Lhro2Oib,https://api.spotify.com/v1/audio-analysis/0EmFeENh4mqxH9Lhro2Oib,191144,4,Malibu,Ingen Drama,Skinz,45,2018-06-01,Top Tracks of 2018
130,0.82,0.739,7,-4.871,0,0.0424,0.0638,0.0,0.249,0.682,97.964,audio_features,14VTLEOzviOKVGAkA9uT2g,spotify:track:14VTLEOzviOKVGAkA9uT2g,https://api.spotify.com/v1/tracks/14VTLEOzviOKVGAkA9uT2g,https://api.spotify.com/v1/audio-analysis/14VTLEOzviOKVGAkA9uT2g,180816,4,Ligesom Mig,Ligesom Mig,KESI,43,2018-01-05,Top Tracks of 2018
